id,date_id,title,theater,company,event_type,hadamowsky,morrow,notes
610,1781-10-30,Iphigenie auf Tauris,Bth,Court,free,Yes,NA,"Entry to the theater was free in celebration of the news of Marie Antoinette's successful delivery of a male child and potential heir to the French throne, Louis-Joseph de France, on 22 Oct 1781. (Louis-Joseph died on 4 Jun 1789.)"
612,1781-10-31,Juliane von Lindorak,Bth,Court,reprise,Yes,NA,NA
616,1781-11-01,Theaters closed for All Saints (Allerheiligen),NA,NA,NA,NA,NA,NA
617,1781-11-02,Der Furchtsame,Bth,Court,reprise,No,NA,"Hadamowsky has the Burgtheater closed on this day. The earliest performance of Der Furchtsame in Hadamowsky was on 1 Sep 1764, and the latest on 19 Jan 1779."
622,1781-11-03,Das Testament,Bth,Court,premiere,Yes,NA,NA
625,1781-11-04,Das Testament,Bth,Court,reprise,Yes,NA,NA
627,1781-11-05,Robert und Kalliste,Bth,Court,reprise,Yes,NA,First performed by the court theater in Vienna on 1 Oct 1778.
628,1781-11-06,Der Deserteur aus Kindesliebe,Bth,Court,reprise,Yes,NA,NA
631,1781-11-07,Minna von Barnhelm,Bth,Court,reprise,Yes,NA,NA
632,1781-11-08,Iphigenie auf Tauris,Bth,Court,reprise,Yes,NA,NA
633,1781-11-09,Philotas,Bth,unknown,premiere,No,NA,Perhaps given by the Theaterschule? No Viennese playbook in the ÖNB.
636,1781-11-10,Das Testament,Bth,Court,reprise,Yes,NA,"""Das Testament / (Autors Einnahme)"". Third performance"
638,1781-11-11,Iphigenie auf Tauris,Bth,Court,reprise,Yes,NA,NA
640,1781-11-12,Die Familie,Bth,Court,reprise,Yes,NA,NA
644,1781-11-13,Der stürmische Liebhaber,Bth,Court,reprise,Yes,NA,NA
646,1781-11-14,Der eifersüchtige Liebhaber,Bth,Court,reprise,Yes,NA,NA
648,1781-11-15,Hamlet,Bth,Court,reprise,Yes,NA,NA
650,1781-11-16,Präsentirt das Gewehr,Bth,Kinder,reprise,No,NA,"Not specified as being done by the Kindertheater, but Präsentirt das Gewehr was in their repertoire."
653,1781-11-17,Der Weise in der That,Bth,Court,reprise,Yes,Yes,"Hadamowsky has a performance of Der Weise in der That as early as 14 May 1768, and it had been in the repertory of the Nationaltheater since 2 Jul 1776."
657,1781-11-18,Thorheit und Betrügerey,Bth,Court,reprise,Yes,NA,NA
659,1781-11-19,Der Arrestant,Bth,Court,reprise,Yes,NA,Final performance
663,1781-11-20,Der Barbier von Sevilien,Bth,Court,reprise,Yes,NA,NA
664,1781-11-21,Zemire und Azor,Bth,Court,reprise,Yes,NA,NA
665,1781-11-22,Das Testament,Bth,Court,reprise,Yes,NA,NA
666,1781-11-23,Die Haushaltung nach der Mode,Bth,unknown,unknown,No,NA,This Friday performance is not in Hadamowsky or Von Alth/Obzyna. Theaterschule?
667,1781-11-24,Olivie,Bth,Court,reprise,Yes,NA,NA
671,1781-11-25,Der Neugierige,Bth,Court,reprise,Yes,NA,NA
674,1781-11-26,Das Landmädchen,Bth,Court,reprise,Yes,NA,NA
676,1781-11-27,Iphigenie auf Tauris,Bth,Court,reprise,Yes,NA,NA
677,1781-11-28,Theaters closed (anniversary of Maria Theresia's death),NA,NA,closed,NA,NA,NA
678,1781-11-29,Theaters closed (anniversary of Maria Theresia's death),NA,NA,closed,NA,NA,NA
679,1781-11-30,Reinhold und Armida,Bth,unknown,reprise,No,NA,This Friday performances is not in Hadamowsky or Von Alth/Obzyna. Theaterschule?
683,1781-12-01,Die Mediceer,Bth,Court,reprise,Yes,NA,NA
687,1781-12-02,Die Holländer,Bth,Court,reprise,Yes,NA,NA
690,1781-12-03,Alceste,Bth,Court,revival,Yes,NA,NA
691,1781-12-04,Die Familie,Bth,Court,reprise,Yes,NA,NA
693,1781-12-05,Die Pilgrime von Mekka,Bth,Court,reprise,Yes,NA,NA
696,1781-12-06,Das öffentliche Geheimniß,Bth,Court,reprise,Yes,NA,NA
698,1781-12-07,Der kleine Grenadier,Bth,unknown,unknown,No,NA,This Friday performance is not in Hadamowsky or Von Alth/Obzyna. Perhaps Theaterschule?
700,1781-12-08,König Lear,Bth,Court,reprise,Yes,NA,NA
702,1781-12-09,Iphigenie auf Tauris,Bth,Court,reprise,Yes,NA,NA
705,1781-12-10,Das Loch in der Thüre,Bth,Court,reprise,Yes,NA,This divertissement is not In Hadamowsky.
706,1781-12-11,Der Schubkarren des Essighändlers,Bth,Court,reprise,Yes,NA,NA
710,1781-12-12,Der Rauchfangkehrer,Bth,Court,reprise,Yes,NA,NA
711,1781-12-13,"Aline, reine de Golconde",Bth,Court,reprise,Yes,NA,NA
712,1781-12-14,Adelheit von Veltheim,Bth,unknown,reprise,No,NA,This Friday performance is not in Hadamowsky or Von Alth/Obzyna. Theaterscule?
713,1781-12-15,Natur und Liebe im Streit,Bth,Court,reprise,Yes,NA,NA
716,1781-12-16,Die schöne Wienerinn,Bth,Court,reprise,Yes,NA,NA
720,1781-12-18,Der seltne Freyer,Bth,Court,reprise,Yes,NA,NA
722,1781-12-19,Alceste,Bth,Court,reprise,Yes,NA,NA
724,1781-12-20,Die eingebildeten Philosophen,Bth,Court,reprise,Yes,NA,NA
726,1781-12-21,Der Furchtsame,Bth,unknown,reprise,No,NA,This Friday performance is not in Hadamowsky or Von Alth/Obzyna. Perhaps Theaterschule.
728,1781-12-22,Santa Elena al Calvario (TKS),Kth,NA,concert,Yes,Yes,"Schletter: ""Musikalisce Akademie. z. V. Der errichteten Tonkünstlergesellschaft, im Kärnt. Th. Theater, genannt: Helena am Calvarienberge, von Haße.""The oratorio was Hasse's Santa Elena al Calverio."
729,1781-12-23,Santa Elena al Calvario (TKS),Kth,NA,concert,Yes,Yes,NA
730,1781-12-24,Theaters closed,NA,NA,closed,NA,NA,NA
731,1781-12-25,Theaters closed for Christmas,NA,NA,closed,NA,NA,NA
732,1781-12-26,Die heimliche Heyrath,Bth,Court,reprise,Yes,NA,NA
735,1781-12-27,Alceste,Bth,NA,reprise,Yes,NA,NA
736,1781-12-28,Der Geburtstag,Bth,unknown,unknown,No,NA,This Friday performance is not in Hadamowsky or Von Alth/Obzyna. Perhaps Theaterschule?
739,1781-12-29,Der Codrus,Bth,Court,reprise,Yes,NA,NA
742,1781-12-30,Der Kobold,Bth,Court,reprise,Yes,NA,NA
745,1781-12-31,Orfeo ed Euridice,Bth,Court,revival,Yes,NA,NA
746,1782-01-01,Die schöne Wienerinn,Bth,Court,reprise,Yes,NA,NA
747,1782-01-02,Doktor Guldenschnitt,Bth,French,premiere,Yes,NA,Performed just once.
748,1782-01-03,Der dankbare Sohn,Bth,Court,reprise,Yes,NA,NA
750,1782-01-04,Der Geburtstag,Bth,unknown,reprise,No,NA,Not in Hadamowsky or Von Alth/Obzyna. Theaterschule?
752,1782-01-05,Der Schmuck,Bth,Court,reprise,Yes,NA,NA
755,1782-01-06,Der Deserteur aus Kindesliebe,Bth,Court,reprise,Yes,NA,NA
756,1782-01-07,Iphigenie auf Tauris,Bth,Court,reprise,Yes,NA,NA
757,1782-01-08,Das Testament,Bth,Court,reprise,Yes,NA,Final performance until 19 Oct 1789.
758,1782-01-09,Athelstan,Bth,Court,reprise,Yes,NA,NA
759,1782-01-10,Die Pilgrime von Mekka,Bth,Court,reprise,Yes,NA,NA
760,1782-01-11,"Stirbt der Fuchs, so gilt sein Balg",Bth,unknown,unknown,No,NA,This Friday performance is not in Hadamowsky or Von Alth/Obyna. Theaterschule?
762,1782-01-12,Emilia Galotti,Bth,Court,reprise,Yes,NA,NA
763,1782-01-13,Der argwöhnische Ehemann,Bth,Court,reprise,Yes,NA,NA
764,1782-01-14,Alceste,Bth,Court,reprise,Yes,NA,NA
765,1782-01-15,Der Schmuck,Bth,Court,reprise,Yes,NA,NA
766,1782-01-16,Die Gunst der Fürsten,Bth,Court,reprise,Yes,NA,NA
767,1782-01-17,Das Irrlicht,Bth,Court,premiere,Yes,NA,NA
768,1782-01-18,Der Dorfdeputirten,Bth,unknown,unknown,No,NA,This Friday performance is not in Hadamowsky or Von Alth/Obzyna. Theaterschule.
